Date,Time,Result
2025-12-23,22:13:25.446431,NOT OK
2025-12-23,22:13:25.560095,NOT OK
2025-12-23,22:13:25.707253,NOT OK
2025-12-23,22:13:25.864223,NOT OK
2025-12-23,22:13:26.115190,NOT OK
2025-12-23,22:13:26.321012,NOT OK
2025-12-23,22:13:26.427029,NOT OK
2025-12-23,22:13:26.530460,NOT OK
2025-12-23,22:13:26.600932,NOT OK
2025-12-23,22:13:26.664299,NOT OK
2025-12-23,22:13:26.697886,NOT OK
2025-12-23,22:13:26.845870,NOT OK
2025-12-23,22:13:26.979198,NOT OK
2025-12-23,22:13:27.260681,NOT OK
2025-12-23,22:13:27.471484,NOT OK
2025-12-23,22:13:27.621053,NOT OK
2025-12-23,22:13:27.761847,NOT OK
2025-12-23,22:13:27.971551,NOT OK
2025-12-23,22:13:28.067830,NOT OK
2025-12-23,22:13:28.105430,NOT OK
2025-12-23,22:13:28.148069,NOT OK
2025-12-23,22:13:28.210285,NOT OK
2025-12-23,22:13:28.304667,NOT OK
2025-12-23,22:13:28.395360,NOT OK
2025-12-23,22:13:28.573447,NOT OK
2025-12-23,22:13:28.759225,NOT OK
2025-12-23,22:13:28.901881,NOT OK
2025-12-23,22:13:29.059719,NOT OK
2025-12-23,22:13:29.276142,NOT OK
2025-12-23,22:13:29.601940,NOT OK
2025-12-23,22:13:29.765774,NOT OK
2025-12-23,22:13:29.962826,NOT OK
2025-12-23,22:13:30.053896,NOT OK
2025-12-23,22:13:30.158283,NOT OK
2025-12-23,22:13:30.256917,NOT OK
2025-12-23,22:13:30.348905,NOT OK
2025-12-23,22:13:30.693072,NOT OK
2025-12-23,22:13:30.806671,NOT OK
2025-12-23,22:13:30.947290,NOT OK
2025-12-23,22:13:31.200776,NOT OK
2025-12-23,22:13:31.447042,NOT OK
2025-12-23,22:13:31.753244,NOT OK
2025-12-23,22:13:31.898169,NOT OK
2025-12-23,22:13:31.997620,NOT OK
2025-12-23,22:13:32.136229,NOT OK
2025-12-23,22:13:32.287017,NOT OK
2025-12-23,22:13:32.389464,NOT OK
2025-12-23,22:13:32.543203,NOT OK
2025-12-23,22:13:32.708474,NOT OK
2025-12-23,22:13:32.809677,NOT OK
2025-12-23,22:13:32.936690,NOT OK
2025-12-23,22:13:33.087869,NOT OK
2025-12-23,22:13:33.339168,NOT OK
2025-12-23,22:13:33.491730,NOT OK
2025-12-23,22:13:33.626803,NOT OK
2025-12-23,22:13:33.734688,NOT OK
2025-12-23,22:13:33.892617,NOT OK
2025-12-23,22:13:34.118897,NOT OK
2025-12-23,22:13:34.294478,NOT OK
2025-12-23,22:13:34.422316,NOT OK
2025-12-23,22:13:34.569581,NOT OK
2025-12-23,22:13:34.727483,NOT OK
2025-12-23,22:13:34.823389,NOT OK
2025-12-23,22:13:34.919006,NOT OK
2025-12-23,22:13:35.090467,NOT OK
2025-12-23,22:13:35.189645,NOT OK
2025-12-23,22:13:35.237665,NOT OK
2025-12-23,22:13:35.320240,NOT OK
2025-12-23,22:13:35.420384,NOT OK
2025-12-23,22:13:35.531369,NOT OK
2025-12-23,22:13:35.626959,NOT OK
2025-12-23,22:13:35.762574,NOT OK
2025-12-23,22:13:35.971316,NOT OK
2025-12-23,22:13:36.148281,NOT OK
2025-12-23,22:13:36.279181,NOT OK
2025-12-23,22:13:36.472831,NOT OK
2025-12-23,22:13:36.751423,NOT OK
2025-12-23,22:13:37.122031,NOT OK
2025-12-23,22:13:37.367962,NOT OK
2025-12-23,22:13:37.523570,NOT OK
2025-12-23,22:13:37.657489,NOT OK
2025-12-23,22:13:37.757903,NOT OK
2025-12-23,22:13:37.959057,NOT OK
2025-12-23,22:13:38.200632,NOT OK
2025-12-23,22:13:38.260493,NOT OK
2025-12-23,22:13:38.371992,NOT OK
2025-12-23,22:13:38.503290,NOT OK
2025-12-23,22:13:38.650679,NOT OK
2025-12-23,22:13:39.199303,NOT OK
2025-12-23,22:13:39.314982,NOT OK
2025-12-23,22:13:39.556007,NOT OK
2025-12-23,22:13:39.704054,NOT OK
2025-12-23,22:13:39.888894,NOT OK
2025-12-23,22:13:39.993915,NOT OK
